Time,Memory,Method
1258496,11552,GET
598661,4720,GET
610462,4944,GET
602067,4736,GET
600263,4880,GET
551231,4736,GET
506838,4704,GET
701864,4816,GET
579194,4800,GET
499284,4560,GET
535883,4560,GET
530133,4592,GET
556261,4592,GET
474799,4592,GET
496048,4592,GET
511377,4592,GET
468607,4624,GET
465431,4592,GET
291355,4592,GET
491390,4592,GET
501609,4592,GET
504815,4592,GET
433140,4592,GET
449041,4592,GET
476662,4592,GET
535312,4592,GET
491309,4592,GET
281287,4592,GET
284442,4592,GET
509634,4592,GET
436417,4592,GET
281457,4592,GET
253204,4592,GET
